UF,Cidade,País,Instituição,Formação,Área,Sub Área,Data Inscrição,Categoria,Inscrição,Credenciado,Data Credenciamento,Hora Credenciamento,Material,Inscrito,Gostaria de receber UMA mensagem dos patrocinadores por email?,Possui alguma necessidade especial?,Tamanho da Camisa,Você concorda com o Código de Conduta da Python Nordeste 2019? https://2019.pythonnordeste.org/cdc.html
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,19/04/2019 13:39:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não,Não respondeu,PP,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,Graduação,Ciências Exatas e da Terra,Física,18/04/2019 21:17:00,Inteira,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não,Não respondeu,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
PI,Teresina,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,10/05/2019 14:34:00,Social,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não,Não respondeu,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
PI,Teresina,Brasil,FACULDADE INTEGRAL DIFERENCIAL,Especialista/Pós-graduado,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Sim,Não respondeu,G,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
PE,Recife,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,28/04/2019 11:12:00,Inteira,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,GG,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,26/04/2019 20:47:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não,Não respondeu,XGG,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
MA,São Luís,Brasil,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO",Graduação,Não respondeu,Não respondeu,19/04/2019 17:39:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Meia-entrada,Pendente,não,Não credenciado,Não credenciado,não,não,Sim,Intolerância a lactose,PP,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,27/04/2019 10:39:00,Inteira,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,XGG,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Sim,Não respondeu,P,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
PE,Recife,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA",Não respondeu,Não respondeu,Não respondeu,22/04/2019 10:43:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,G,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,10/05/2019 14:13:00,Inteira,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não,Não respondeu,P,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
PE,Recife,Brasil,UNIVERSIDADE FEDERAL DE PERNAMBUCO,Graduação,Ciências Sociais Aplicadas,Desenho Industrial,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não,Não respondeu,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,Graduação,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Sim,Não,Masculina P,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,26/06/2019 10:30:00,Patrocinador,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO",Graduação,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Sim,Não respondeu,PP,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
