UF,Cidade,País,Instituição,Formação,Área,Sub Área,Data Inscrição,Categoria,Inscrição,Credenciado,Data Credenciamento,Hora Credenciamento,Material,Inscrito
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,31/03/2024 13:57:00,2º Lote [Inteira],Aprovado,sim,10/08/2024,07:26,sim,sim
RN,Natal,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,29/01/2024 13:52:00,2º Lote [Social],Aprovado,não,Não credenciado,Não credenciado,não,sim
Não respondeu,Não respondeu,Brasil,Activesoft,Não respondeu,Não respondeu,Não respondeu,01/04/2024 19:54:00,2º Lote [Estudante],Aprovado,sim,10/08/2024,11:42,sim,sim
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,22/07/2024 15:19:00,Promocional,Aprovado,sim,10/08/2024,11:42,sim,sim
CE,Juazeiro do Norte,Brasil,Não Respondeu,Graduação,Não respondeu,Não respondeu,06/06/2024 13:29:00,3º Lote inteira,Aprovado,sim,10/08/2024,07:21,sim,sim
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,23/04/2024 12:51:00,3º Lote Social,Aprovado,sim,10/08/2024,07:21,sim,sim
Não respondeu,Não respondeu,Brasil,UNIVERSIDADE FEDERAL DE PERNAMBUCO,Mestrado,Não respondeu,Não respondeu,17/06/2024 04:37:00,ÚLTIMO LOTE [SOCIAL],Aprovado,sim,11/08/2024,07:09,sim,sim
RN,Pau dos Ferros,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,16/03/2024 11:18:00,2º Lote [Estudante],Aprovado,sim,10/08/2024,07:21,sim,sim
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,15/03/2024 12:14:00,Promocional,Aprovado,sim,10/08/2024,07:21,sim,sim
RN,Natal,Brasil,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,Não respondeu,Não respondeu,Não respondeu,03/06/2024 01:59:00,3º Lote [Estudante],Aprovado,sim,10/08/2024,07:45,sim,sim
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,26/03/2024 18:14:00,2º Lote [Estudante],Aprovado,não,Não credenciado,Não credenciado,não,sim
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,15/03/2024 22:27:00,2º Lote [Social],Aprovado,sim,09/08/2024,12:02,sim,sim
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,08/07/2024 02:42:00,ÚLTIMO LOTE [ESTUDANTE],Aprovado,sim,09/08/2024,12:02,sim,sim
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,09/05/2024 22:42:00,3º Lote inteira,Aprovado,sim,09/08/2024,12:02,sim,sim
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,20/05/2024 16:02:00,3º Lote [Estudante],Aprovado,não,Não credenciado,Não credenciado,não,sim
