UF,Cidade,País,Instituição,Formação,Área,Sub Área,Data Inscrição,Categoria,Inscrição,Credenciado,Data Credenciamento,Hora Credenciamento,Material,Inscrito,Código de Conduta,Com qual das opções abaixo você se identifica?,Como você classificaria seu nível de conhecimento em Python?,Como você se define?,Como você se identifica?,Direitos de conteúdo e imagem,Termo de consentimento para tratamento de dados pessoais,"Você possui alguma deficiência? Se sim, qual?",Você programa em Python?,Você trabalha com Python
PI,São Raimundo Nonato,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,29/04/2025 21:22:00,MEIA - 2° LOTE,Aprovado,sim,21/06/2025,09:42,não,sim,SIM,Parte da comunidade LGBTQIA+,Iniciante,Uma pessoa parda,Mulher,SIM,SIM,Não,Comecei no último ano,Não
PI,Teresina,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,29/05/2025 20:36:00,INTEIRA - ÚLTIMO LOTE,Aprovado,não,Não credenciado,Não credenciado,não,sim,SIM,Heterossexual / Cisgênero,Avançado,Uma pessoa parda,Homem,SIM,SIM,Não respondeu,Há mais de dez anos,Sim
MA,Matões,Brasil,UNIVERSIDADE FEDERAL DO PIAUÍ,Graduação,Não respondeu,Não respondeu,16/06/2025 01:51:00,INGRESSO SOCIAL - RESGATE COM O CUPOM,Aprovado,sim,21/06/2025,09:18,sim,sim,SIM,Heterossexual / Cisgênero,Iniciante,Uma pessoa parda,Mulher,SIM,SIM,Não respondeu,"Não programo em Python, mas sei programar em outras linguagens",Sim
PI,Teresina,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,27/03/2025 21:47:00,MEIA - 1° LOTE,Aprovado,não,Não credenciado,Não credenciado,não,sim,SIM,Heterossexual / Cisgênero,Ainda vou aprender,Prefiro não responder,Homem,SIM,SIM,Não respondeu,Não sei programar,Não
PI,Teresina,Brasil,UNIVERSIDADE ESTADUAL DO PIAUÍ,Graduação,Ciências Exatas e da Terra,Ciência da Computação,15/06/2025 14:22:00,INGRESSO SOCIAL - RESGATE COM O CUPOM,Aprovado,não,Não credenciado,Não credenciado,não,sim,SIM,Heterossexual / Cisgênero,Iniciante,Uma pessoa negra,Homem,SIM,SIM,Não respondeu,"Não programo em Python, mas sei programar em outras linguagens","Não, mas pretendo"
PB,Campina Grande,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,17/02/2025 15:34:00,PROMOCIONAL,Aprovado,não,Não credenciado,Não credenciado,não,sim,SIM,Parte da comunidade LGBTQIA+,Avançado,Uma pessoa branca,Mulher,SIM,SIM,Não respondeu,Há mais de cinco anos,Sim
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,16/06/2025 14:27:00,PROMOCIONAL,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu
MA,Timon,Brasil,"Instituto Federal de Educação, Ciência e Tecnologia do Maranhão",Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,SIM,Parte da comunidade LGBTQIA+,Iniciante,Uma pessoa negra,Mulher,SIM,SIM,Não respondeu,Há mais de um ano,"Não, mas pretendo"
MA,Timon,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,28/05/2025 17:27:00,MEIA - ÚLTIMO LOTE,Aprovado,sim,21/06/2025,11:17,sim,sim,SIM,Heterossexual / Cisgênero,Intermediário,Uma pessoa parda,Homem,SIM,SIM,Não respondeu,Há mais de um ano,Sim
PI,Teresina,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,11/03/2025 20:00:00,MEIA - 1° LOTE,Aprovado,sim,22/06/2025,09:50,sim,sim,SIM,Heterossexual / Cisgênero,Intermediário,Uma pessoa parda,Homem,SIM,SIM,Não respondeu,Há mais de três anos,Sim
