Produto,Preço,País,Estado,Cupom,Tamanho de camisa,Ano de nascimento,Como você se define?,"Você possui alguma deficiência? Se sim, qual?",Você programa em Python?,Como você classificaria seu nível de conhecimento em Python?,Você trabalha com Python?,Termo de consentimento para tratamento de dados pessoais,Direitos de conteúdo e imagem,Você concorda em compartilhar seus dados com os patrocinadores?,Provedores de pagamento
Meia entrada (1º lote),110,Não respondeu,Não respondeu,Não respondeu,GG - 60cm tórax - 76cm comprimento,1988,Uma pessoa negra,Não,Há mais de três anos,Intermediário,Sim,Sim,Sim,Não respondeu,Cartão de Crédito via Stripe
Meia entrada (1º lote),110,Não respondeu,Não respondeu,Não respondeu,M - 52cm tórax - 70cm comprimento,1964,Uma pessoa amarela,Não,Há mais de dez anos,Intermediário,Sim,Sim,Sim,Não respondeu,Cartão de Crédito via Stripe
Meia entrada (1º lote),110,Não respondeu,Não respondeu,Não respondeu,P - 49cm tórax - 66cm comprimento,2006,Uma pessoa branca,Não,Há mais de três anos,Avançado,Sim,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (1º lote),110,Não respondeu,Não respondeu,Não respondeu,M - 52cm tórax - 70cm comprimento,2000,Uma pessoa branca,Não respondeu,Comecei no último ano,Intermediário,Sim,Sim,Sim,Não respondeu,Cartão de Crédito via Stripe
Meia entrada (1º lote),110,Não respondeu,Não respondeu,Não respondeu,P - 49cm tórax - 66cm comprimento,2006,Prefiro não responder,Não respondeu,Há mais de um ano,Iniciante,"Não, mas pretendo",Sim,Sim,Não respondeu,Cartão de Crédito via Stripe
Meia entrada (1º lote),110,Não respondeu,Não respondeu,Não respondeu,G - 56cm tórax - 73cm comprimento,1990,Uma pessoa negra,Não,Há mais de um ano,Iniciante,"Não, mas pretendo",Sim,Sim,Não respondeu,Cartão de Crédito via Stripe
Meia entrada (1º lote),110,Não respondeu,Não respondeu,Não respondeu,M - 52cm tórax - 70cm comprimento,1983,Uma pessoa parda,Não respondeu,Há mais de um ano,Intermediário,Sim,Sim,Sim,Não respondeu,Cartão de Crédito via Stripe
Meia entrada (1º lote),110,Não respondeu,Não respondeu,Não respondeu,4G - 68cm tórax - 80cm comprimento,1995,Uma pessoa parda,Não respondeu,Há mais de um ano,Intermediário,Sim,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (1º lote),110,Não respondeu,Não respondeu,Não respondeu,M - 52cm tórax - 70cm comprimento,1968,Uma pessoa branca,NAO,Comecei no último ano,Intermediário,Sim,Sim,Sim,Não respondeu,Cartão de Crédito via Stripe
Meia entrada (1º lote),110,Não respondeu,Não respondeu,Não respondeu,P - 49cm tórax - 66cm comprimento,2003,Uma pessoa parda,Não respondeu,Há mais de um ano,Intermediário,Sim,Sim,Sim,Não respondeu,Cartão de Crédito via Stripe
